Nom,Catégorie,URL,INCI,Nom botanique,Texte brut,Qualité,Date
Base de savon à faire fondre – Olive,Bases neutres,https://www.purearome.com/fr/produit/base-de-savon-a-faire-fondre-olive,,,"Base Savon Olive Premium – Melt and Pour  Accueil Produits Base de savon à faire fondre – Olive Base de savon à faire fondre – Olive Sku: MPOLIVE Base de savon à faire fondre – Olive Sku: MPOLIVE 13,50 $ CAD Produit non disponible à l'achat en ligne Partager Base de savon à faire fondre – Olive Cette base de savon melt and pour enrichie en huile d’olive offre une mousse douce, crémeuse et très hydratante. Formulée sans TEA, sans SLS et sans SLES, elle constitue une excellente option pour créer des savons de qualité supérieure, autant pour artisans que pour entreprises de soins corporels. Sa fusion homogène et sa facilité d’utilisation en font une base idéale pour les savons moulés, colorés, parfumés ou fonctionnels. Ingrédients Glycerin, Propylene Glycol, Olea Europaea (Olive) Fruit Oil, Cocos Nucifera (Coconut) Oil, Sodium Stearate, Sodium Laurate, Sodium Myristate, Sodium Cocoate, Sorbitol, Aminomethyl Propanol, Aqua. Caractéristiques techniques Aspect : solide translucide, légèrement jaunâtre Odeur : douce, neutre Point de fusion : 60–75 °C Solubilité : fond au bain-marie, insoluble dans l’eau Qualité : sans TEA, sans alcool, non testé sur les animaux Conservation : conserver à 15–25 °C, à l’abri de l’humidité Provenance : Canada Mode d’emploi Couper la base en petits cubes pour une fonte uniforme. Faire fondre doucement au bain-marie entre 60–75 °C . Ne jamais dépasser 80 °C (risque d’opacification). Ajouter colorants, exfoliants, huiles ou additifs compatibles. Fragrance : maximum 3 % pour éviter le suintement. Bien mélanger puis couler immédiatement dans un moule propre. Laisser refroidir complètement avant de démouler. Mise en garde Usage externe uniquement . Ne pas utiliser la base telle quelle sans transformation. Éviter tout contact avec les yeux. Ne pas ingérer. Ne pas chauffer dans un contenant fermé. Tenir hors de portée des enfants. Mise en garde et conformité Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire de votre produit fini est sous votre entière responsabilité. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à réaliser des tests en petite quantité dans tes formules. Pure Arôme Laboratoire reste à tes côtés pour t’accompagner 💛. Document : Ingrédients % Base de savon à faire fondre – Olive.pdf ",À valider,2026-03-27
Base de savon à faire fondre – Ultra Transparent,Bases neutres,https://www.purearome.com/fr/produit/base-de-savon-a-faire-fondre-ultra-transparent,,,"Base de savon Melt and Pour Ultra Transparent | Sans SLS, SLES, TEA  Accueil Produits Base de savon à faire fondre – Ultra Transparent Base de savon à faire fondre – Ultra Transparent Sku: MPULTRA Base de savon à faire fondre – Ultra Transparent Sku: MPULTRA 13,50 $ CAD Produit non disponible à l'achat en ligne Partager Base de savon à faire fondre – Ultra Transparent Cette base de savon (melt and pour) ultra-transparente ne contient ni alcool ni agents agressifs, et elle est entièrement exempte de TEA, SLS et SLES. Elle fond facilement, offre une clarté exceptionnelle et constitue une base idéale pour la création de savons professionnels, moulés, colorés ou parfumés. Sa texture lisse et stable assure des résultats constants et haut de gamme pour artisans, créateurs et manufacturiers. Ingrédients Glycerin, Propylene Glycol, Sodium Stearate, Sorbitol, Cocos Nucifera (Coconut) Oil, Sodium Myristate, Sodium Laurate, Sodium Cocoate, Aminomethyl Propanol, Aqua Caractéristiques techniques Aspect : solide translucide, ultra clair Odeur : neutre, légère Point de fusion : 60–75 °C Transparence : très élevée (effet cristal) Solubilité : fond au bain-marie, insoluble dans l’eau Qualité : sans TEA, SLS, SLES, sans alcool, non testé sur les animaux Conservation : conserver à 15–25 °C, à l’abri de l’humidité Provenance : Canada Mode d’emploi Couper la base en petits cubes pour une fonte uniforme. Faire fondre doucement au bain-marie entre 60–75 °C . Ne jamais dépasser 80 °C (risque d’opacification). Ajouter colorants, exfoliants, huiles ou additifs compatibles. Fragrance : maximum 3 % pour éviter le suintement. Bien mélanger puis couler immédiatement dans un moule propre. Laisser refroidir complètement avant de démouler. Mise en garde Usage externe uniquement . Ne pas utiliser la base telle quelle sans transformation. Éviter tout contact avec les yeux. Ne pas ingérer. Ne pas chauffer dans un contenant fermé. Tenir hors de portée des enfants. Mise en garde et conformité Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire de votre produit fini est sous votre entière responsabilité. Note importante, mais tout en douceur Les informations partagées ici sont proposées avec rigueur et bienveillance, basées sur les données scientifiques et notre expérience. Elles ne remplacent pas un avis médical. Nous t’encourageons à réaliser des tests en petite quantité dans tes formules. Pure Arôme Laboratoire reste à tes côtés pour t’accompagner 💛. Document : Ingrédients % Base de savon à faire fondre – Ultra Transparente.pdf ",À valider,2026-03-27
Base masque capillaire,Bases neutres,https://www.purearome.com/fr/produit/base-masque-capillaire,"Aqua, Behenamidopropyl dimethylamine, Behentrimonium methosulfate, Stearyl alcohol, Cetearyl alcohol, Hydrolyzed wheat protein, Cetyl alcohol, Phenoxyethanol, Ethylhexylglycerin",,"Base masque capillaire neutre Accueil Produits Base masque capillaire Base masque capillaire Sku: BMASC En stock Base masque capillaire Sku: BMASC En stock 15,95 $ CAD Produit non disponible à l'achat en ligne Partager Base neutre de Masque capillaire Sans Paraben et Sans Propylène Glycol Découvrez la base neutre de masque capillaire de qualité professionnelle, conçue pour nourrir, hydrater et renforcer les cheveux en profondeur. Enrichie en kératine hydrolysée, cette formulation douce et efficace offre un support parfait pour créer des masques capillaires personnalisés, répondant aux besoins spécifiques de chaque type de cheveux. Avec notre base de masque capillaire, donnez libre cours à votre créativité ! Que vous soyez professionnel, artisan ou passionné du DIY, vous pouvez ajouter vos huiles essentielles, macérats, ou autres actifs pour créer des soins capillaires uniques. Cette base neutre est également sans paraben et sans propylène glycol, assurant une formulation douce et adaptée même aux cuirs chevelus sensibles. Notre masque capillaire de base est un choix parfait pour créer des produits sur mesure, riches en bienfaits, adaptés aux tendances actuelles de soins capillaires naturels. Ajoutez notre base de masque capillaire neutre à votre routine de création pour offrir des soins capillaires naturels et personnalisés qui raviront vos clients ! Ingrédients : Aqua, Behenamidopropyl dimethylamine, Behentrimonium methosulfate, Stearyl alcohol, Cetearyl alcohol, Hydrolyzed wheat protein, Cetyl alcohol, Phenoxyethanol, Ethylhexylglycerin Fabriqué au Canada Mise en Garde et Conformité : Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire est de votre responsabilité. **Usage externe uniquement** : Ce produit est destiné à une utilisation externe. Document : Fiche Technique Base Masque capillaire Pure arome Laboratoire.pdf ",Base,2026-03-27
Base neutre bain moussant,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-bain-moussant,"Aqua, Cocoamidopropyl betaine, Carboxyméthylcellulose, Vegetable glycerin, D-panthenol, Tocopherol, sodium alginate, Xanthan Gum, Aloe Barbadensis",,"Base neutre bain moussant Accueil Produits Base neutre bain moussant Base neutre bain moussant Sku: BBAINM En stock Base neutre bain moussant Sku: BBAINM En stock 16,95 $ CAD Produit non disponible à l'achat en ligne Partager Base bain moussant sans arôme (sans de sulfates, d'alcool, de parabens, de gluten ni de phtalates) Qui n'adore pas les bains moussants pour se plonger, relaxer et décrocher. Maintenant ce n'est plus un mystère monsieur madame et enfants adorent. Notre base de bain moussant doit faire parti de votre collection de cosmétique. Créer toi ton moment ou les moments pour tes clients allez hop ! elle t'attend notre base de bain moussant Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. Produit du Canada Ingrédients : Aqua, Cocoamidopropyl betaine, Carboxyméthylcellulose, Vegetable glycerin, D-panthenol, Tocopherol, sodium alginate, Xanthan Gum, Aloe Barbadensis Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base neutre gel de douche,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-gel-de-douche-1,"Aqua, Cocoamidopropyl betaine. Carboxyméthylcellulose, Vegetable glycerin, D-panthenol, Tocopherol, Xanthan Gum, Sodium alginate, Aloe Barbadensis, Polyquaternium7, Citrus Grandis (Grapefruit) Seed Extract (and) Glycerin (Extrait pépins de pamplemousse), Citric acid",,"Base neutre gel douche Accueil Produits Base neutre gel de douche Base neutre gel de douche Sku: BGELD Base neutre gel de douche Sku: BGELD 16,95 $ CAD Produit non disponible à l'achat en ligne Partager Base gel douche neutre Notre base de gel douche est un des produits préfères à nos clients, homme - femme et enfant adore le savon sous forme de gel doux et hydratant à la fois. Un indispensable dans une gamme collection cosmétique. Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. S'il vous plaît noter que pendant les mois d'hiver cet article pourrait se figer durant l'expédition. Si votre produit arrive super épais, laissez le produit se réchauffer naturellement en même temps que la bouteille dans une pièce à température ambiante normale. Quand la base est froide, la couleur est opaque et est à température ambiante, elle est nette plus visible. Produit du Canada Ingrédients : Aqua, Cocoamidopropyl betaine. Carboxyméthylcellulose, Vegetable glycerin, D-panthenol, Tocopherol, Xanthan Gum, Sodium alginate, Aloe Barbadensis, Polyquaternium7, Citrus Grandis (Grapefruit) Seed Extract (and) Glycerin (Extrait pépins de pamplemousse), Citric acid Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base neutre parfum,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-parfum,Alcohol Denat. (SDA-40B Anhydrous) USP,,"Base neutre parfum Accueil Produits Base neutre parfum Base neutre parfum Sku: BASPAF En rupture ! De retour bientôt Base neutre parfum Sku: BASPAF En rupture ! De retour bientôt 25,95 $ CAD Produit non disponible à l'achat en ligne Partager Base Neutre pour Parfum INCI : Alcohol Denat. (SDA-40B Anhydrous) USP CAS : 64-17-5 Laissez libre cours à votre créativité olfactive avec notre Base Neutre pour Parfum et Brume. Conçue spécialement pour faciliter la création de produits parfumés, cette base est idéale pour des applications variées : parfums corporels, eaux de toilette, brumes d'ambiance, brumes pour le corps, et bien plus encore. Formulée avec un alcool dénaturé SDA 40B de qualité USP, notre base offre une qualité optimale pour garantir une expérience sûre et hautement performante. À partir d'un alcool végétal sans phtalate et non de grade technique, nous avons ajouté des composants tels que le Bitrex et le Myristate d'isopropyle. Le Bitrex confère une légère amertume pour empêcher toute ingestion accidentelle, tandis que le myristate d'isopropyle assure la stabilité et une diffusion idéale de vos parfums. La légère odeur d'alcool initiale disparaît totalement quelques secondes après la vaporisation de votre produit fini, enrichi de vos fragrances préférées, permettant ainsi un rendu olfactif pur et fidèle. Avantages de la Base de Parfum Pure Arôme : 1. Qualité supérieure : Alcool dénaturé USP de haute qualité, exempt de phtalates, pour une application en toute confiance. 2. Fixation et Longévité : Enrichie pour agir comme un fixateur, cette base prolonge la tenue des huiles essentielles et des fragrances, garantissant une expérience parfumée durable. 3. Facilité d'utilisation : Permet une diffusion homogène des arômes pour des créations olfactives parfaitement équilibrées. Conseils d’utilisation : Réaliser votre propre parfum est simple ! Versez la base dans un récipient adapté, puis ajoutez votre huile essentielle ou fragrance préférée, en mélangeant doucement pour une dispersion parfaite. Cette méthode vous permet de doser précisément chaque parfum et de créer des combinaisons uniques et personnelles. Origine : Canada Mise en Garde et Conformité : Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire est de votre responsabilité. . **Usage externe uniquement** : Ce produit est destiné à une utilisation externe. **Attention** : Ce produit est inflammable. Tenez-le éloigné de toute source de chaleur, d’étincelles et hors de portée des enfants. En cas d’accident, de situation d’urgence, ou d’incendie, nous déclinons toute responsabilité quant aux conséquences potentielles. Utilisez-le de manière responsable, avec masque et gants, et dans un environnement bien ventilé. Document : FDS Base de parfum fr.pdf ",Propre,2026-03-27
Base neutre revitalisant,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-revitalisant,"Aqua, Aloe Barbadensis, Orbygnia oleifera seed oil, Behentrimonium methosulfate, Cetearyl alcohol, Olea Europaea, Prunus Armeniaca, Glycerin, Hydrolyzed Silk, Anthemis nobilis flower extract, Glyceryl stearate, Sodium stearoyl lactylate, Tocopheryl Acetate, Ascorbic acid, Niacin, Panthenol, Pyridoxine, propanediol, Ethylhexylglycerin, Potassium sorbate",,"Base neutre revitalisant Accueil Produits Base neutre revitalisant Base neutre revitalisant Sku: BREVIT En stock Base neutre revitalisant Sku: BREVIT En stock 16,95 $ CAD Produit non disponible à l'achat en ligne Partager Base neutre revitalisant Une belle base de revitalisant doux et soyeux, quoi demander de mieux pour le soin capillaire. Créer une belle finition à votre collection cosmétique grâce à la base de revitalisant. Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. S'il vous plaît noter que pendant les mois d'hiver cet article pourrait se figer durant l'expédition. Si votre produit arrive super épais, laissez le produit se réchauffer naturellement en même temps que la bouteille dans une pièce à température ambiante normale. Quand la base est froide, la couleur est opaque et est à température ambiante, elle est nette plus visible. Produit du Canada Ingrédients : Aqua, Aloe Barbadensis, Orbygnia oleifera seed oil, Behentrimonium methosulfate, Cetearyl alcohol, Olea Europaea, Prunus Armeniaca, Glycerin, Hydrolyzed Silk, Anthemis nobilis flower extract, Glyceryl stearate, Sodium stearoyl lactylate, Tocopheryl Acetate, Ascorbic acid, Niacin, Panthenol, Pyridoxine, propanediol, Ethylhexylglycerin, Potassium sorbate Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base neutre savon castille liquide,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-savon-castille-liquide,"Aqua, Olea Europaea (Olive) Fruit Oil, Cocos Nucifera (Coconut) Oil, Potassium Hydroxide, Algin.",,"Base savon de Castille liquide Accueil Produits Base neutre savon castille liquide Base neutre savon castille liquide Sku: NEBASE-CASTILLE Base neutre savon castille liquide Sku: NEBASE-CASTILLE 16,95 $ CAD Produit non disponible à l'achat en ligne Partager Base de Savon de Castille Liquide - Sans Arôme Optez pour l'authenticité avec notre Base de Savon de Castille Liquide Sans Arôme, une formulation inspirée de la tradition ancestrale de la région de Castille en Espagne. Cette base de savon est l’essence même de la simplicité et de la pureté : de l'eau, de l'huile d'olive extra-vierge et une petite touche d'huile de noix de coco, créant un savon naturel qui respecte les peaux sensibles. Idéale pour les soins de la peau et les projets DIY, cette base est prête à être personnalisée avec vos arômes préférés. Pourquoi Choisir la Base de Savon de Castille Pure Arôme ? Ingrédients d'Origine Naturelle : Fabriquée principalement avec de l'huile d'olive extra-vierge, notre base est exempte d’huiles de palme ou d’ingrédients agressifs. Elle est spécialement conçue pour offrir une mousse douce et émolliente, idéale pour les peaux sensibles, y compris celles des bébés. Polyvalence : Sans parfum ajouté, cette base est parfaite pour personnaliser vos créations avec vos huiles essentielles ou fragrances. Respectez un taux d'arôme de 1 % à 2 % pour un produit équilibré et adapté aux peaux les plus délicates. Inspiration Traditionnelle et Efficacité Moderne : Contrairement aux bases industrielles enrichies en huiles moins coûteuses, notre base respecte les standards d’un véritable savon de Castille, alliant tradition et soin de la peau. Conseils d'Utilisation : Cette base, bien que moussante, garde l’essence du savon de Castille original. Pour une mousse optimisée, appliquez-la avec une houppette, un loofa ou une éponge. Note : En hiver, cette base peut se figer en raison des températures basses durant le transport. Si le produit arrive plus épais que d'habitude, laissez-le simplement se réchauffer naturellement à température ambiante jusqu'à ce qu'il retrouve sa consistance fluide. Ingrédients : Aqua, Olea Europaea (Olive) Fruit Oil, Cocos Nucifera (Coconut) Oil, Potassium Hydroxide, Algin. Fabriqué au Canada Mise en Garde et Conformité : Avant de commercialiser votre produit fini, assurez-vous de respecter toutes les réglementations en vigueur et de soumettre le formulaire de déclaration des cosmétiques requis par Santé Canada. La conformité réglementaire est de votre responsabilité. . **Usage externe uniquement** : Ce produit est destiné à une utilisation externe. Document : Ingredients Base Savon Castille Liquide Pure Arome Laboratoire.pdf ",Base,2026-03-27
Base neutre savon pour corps et mains,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-savon-pour-corps-et-mains,"Aqua, Coco-betaine, Carboxyméthylcellulose, Vegetable glycerin, D-panthenol, Tocopherol, Xanthan Gum, sodium alginate, Aloe Barbadensis, Polyquaternium 7, Citrus Grandis (Grapefruit) Seed Extract (and) Glycerin (Extrait pépins de pamplemousse),",,"Base savon corps et mains Accueil Produits Base neutre savon pour corps et mains Base neutre savon pour corps et mains Sku: BCOMA En stock Base neutre savon pour corps et mains Sku: BCOMA En stock 16,95 $ CAD Produit non disponible à l'achat en ligne Partager Base neutre corps et mains Notre base neutre savon pour corps et mains est bien plus qu'un simple savon. C'est une base neutre de qualité qui offre une expérience personnalisée et adaptée à vos besoins spécifiques. Sa formule douce et hydratante nettoie et nourrit la peau en douceur, la laissant douce et hydratée, et convient aussi bien pour les mains que pour le corps. Notre base neutre est conçue avec des ingrédients de qualité, ce qui garantit son efficacité et sa douceur pour la peau. Elle est également une option idéale pour les personnes souhaitant personnaliser leur expérience en utilisant leurs propres arômes. Avec notre base non parfumée, vous pouvez libérer votre créativité et ajouter vos propres huiles essentielles, fragrances ou extraits de plantes pour créer un savon à main ou pour le corps personnalisé qui répond à vos préférences et besoins. Nous vous recommandons de garder vos mélanges de parfum en dessous de 3%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% maximum. Veuillez noter qu'un produit en phase gel neutre peut passer en phase liquide après l'ajout d'huile essentielle, de fragrance ou d'arôme en raison d'une réaction chimique naturelle (changement de pH). Afin d'éviter tout désagrément, nous vous recommandons de tester chaque arôme en petite quantité avant de produire une série. Toutefois, même sous forme liquide, notre base de gel douche reste exceptionnelle et offre une expérience de bain / douche agréable. Gel douche Savon de corps Produit capillaire Produit du Canada Ingrédients : Aqua, Coco-betaine, Carboxyméthylcellulose, Vegetable glycerin, D-panthenol, Tocopherol, Xanthan Gum, sodium alginate, Aloe Barbadensis, Polyquaternium 7, Citrus Grandis (Grapefruit) Seed Extract (and) Glycerin (Extrait pépins de pamplemousse), Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base neutre shampoing,Bases neutres,https://www.purearome.com/fr/produit/base-neutre-shampoing,"Aqua, Decyl glucoside, Cocoamidopropyl Betaine, Glycerin, Hydrolyzed Silk, Niacin, Panthenol, Tocopherol, Propanediol, Ethylhexylglycerin, Potassium sorbate, Titanium dioxide Produit du Canada",,"Base Shampoing Accueil Produits Base neutre shampoing Base neutre shampoing Sku: BSHAMP En stock Base neutre shampoing Sku: BSHAMP En stock 16,95 $ CAD Produit non disponible à l'achat en ligne Partager Base shampoing L'action moussante de cette base est riche et crémeuse, ce qui rend très doux pour le cuir chevelu et les cheveux. La texture est assez proche d'un produit acheté en magasin, en ce qui concerne l'épaisseur il a un bon corps et ne glisse pas entre les doigts comme le font certains shampoings naturels. Ajouter de l'eau, des beurres ou des huiles supplémentaires peut compromettre la durée de conservation et vos propres essais de conservation devrait être complétés. Les additifs à base d'huile réduisent rapidement la capacité de moussage, les ingrédients solubles dans l'eau n'entravent pas la formation de mousse mais peuvent nécessiter l'ajout de conservateurs supplémentaires avant d'être incorporés dans la base. Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. S'il vous plaît noter que pendant les mois d'hiver cet article pourrait se figer durant l'expédition. Si votre produit arrive super épais, laissez le produit se réchauffer naturellement en même temps que la bouteille dans une pièce à température ambiante normale. Quand la base est froide, la couleur est opaque et est à température ambiante, elle est nette plus visible. Ingrédients : Aqua, Decyl glucoside, Cocoamidopropyl Betaine, Glycerin, Hydrolyzed Silk, Niacin, Panthenol, Tocopherol, Propanediol, Ethylhexylglycerin, Potassium sorbate, Titanium dioxide Produit du Canada Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base savon aloe vera Melt and Pour,Bases neutres,https://www.purearome.com/fr/produit/base-savon-aloe-vera-melt-and-pour,"Aqua, Glycerin, Sorbitol, Sodium stearate, Propylene glycol, Sodium oleate, Sodium myristate, barbadensis leaf juice (Aloes vera), Sodium chloride, Citric acid, Coco-betaine, Pentasodium Pentetate, Tetrasodium Etidronate .",,"Base savon Aloe Vera Melt and Pour Accueil Produits Base savon aloe vera Melt and Pour Base savon aloe vera Melt and Pour Sku: MPALOE Base savon aloe vera Melt and Pour Sku: MPALOE 13,50 $ CAD Produit non disponible à l'achat en ligne Partager Base de savon Aloe vera fondre et verser (Melt and Pour) Cette base de savon ne contient pas d'alcool ou de produits nocifs, et elle est libre de tensioactifs SLS et SLES. Notre base de savon Aloès (aloe vera) est riche, grâce au Jus gel d'aloe vera utilisé lors de sa fabrication. Elle a une couleur transparente, alors pleines possibilités pour vos créations. Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. Produit du Canada Ingrédients : Aqua, Glycerin, Sorbitol, Sodium stearate, Propylene glycol, Sodium oleate, Sodium myristate, barbadensis leaf juice (Aloes vera), Sodium chloride, Citric acid, Coco-betaine, Pentasodium Pentetate, Tetrasodium Etidronate . Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base savon beurre de Karité Melt and Pour,Bases neutres,https://www.purearome.com/fr/produit/base-savon-beurre-de-karite-melt-and-pour,"Aqua, Glycerin, Sodium stearate, Sorbitol, Sodium laurate, Propylene glycol, Sodium oleate, Sodium myristate, Sodium chloride, Citric acid, Glyceryl Monolaurate, Shea butter (Butyrospermum parkii), coco-betaine, Sodium thiosulfate, Titanium dioxide, Trisodium Sulfosuccinate, Pentasodium Pentetate, Tetrasodium Etidronate .",,"Base savon beurre de Karité Melt and Pour Accueil Produits Base savon beurre de Karité Melt and Pour Base savon beurre de Karité Melt and Pour Sku: MPKARI Base savon beurre de Karité Melt and Pour Sku: MPKARI 13,50 $ CAD Produit non disponible à l'achat en ligne Partager Base de savon au beurre de Karité fondre et verser (Melt and Pour) Cette base de savon ne contient pas d'alcool ou de produits nocifs, et elle est libre de tensioactifs SLS et SLES. Notre base de savon au beurre de Karité est d'une qualité extraordinaire, retrouvé toutes les propriétés du beurre de Karité dans votre base de savon. Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. Produit du Canada Ingrédients : Aqua, Glycerin, Sodium stearate, Sorbitol, Sodium laurate, Propylene glycol, Sodium oleate, Sodium myristate, Sodium chloride, Citric acid, Glyceryl Monolaurate, Shea butter (Butyrospermum parkii), coco-betaine, Sodium thiosulfate, Titanium dioxide, Trisodium Sulfosuccinate, Pentasodium Pentetate, Tetrasodium Etidronate . Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
Base savon beurre de Mangue Melt and Pour,Bases neutres,https://www.purearome.com/fr/produit/base-savon-beurre-de-mangue-melt-and-pour,"Aqua, Glycerin, Sodium stearate, Sorbitol, Sodium laurate, Propylene glycol, Sodium oleate, Sodium myristate, Sodium chloride, Citric acid, Glyceryl Monolaurate, Mango butter (Mangifera indica), Coco-betaine, Sodium thiosulfate, Titanium dioxide, Trisodium Sulfosuccinate, Pentasodium Pentetate, Tetrasodium Etidronate .",,"Base savon beurre de Mangue Melt and Pour Accueil Produits Base savon beurre de Mangue Melt and Pour Base savon beurre de Mangue Melt and Pour Sku: MPMANG Base savon beurre de Mangue Melt and Pour Sku: MPMANG 13,50 $ CAD Produit non disponible à l'achat en ligne Partager Base de savon beurre de mangue fondre et verser (Melt and Pour) Cette base de savon ne contient pas d'alcool ou de produits nocifs, et elle est libre de tensioactifs SLS et SLES. Notre base de savon de mangue est d'une qualité extraordinaire, retrouvé toutes les propriétés du beurre de mangue dans votre base de savon. Cette base est non parfumée pour que vous utilisiez vos propres arômes pour créer votre produit personnalisé ! En parfumant, n'oubliez pas de garder vos mélanges sous le marqueur de 2%. Nous parfumons généralement cette base avec une charge d'arôme de 1% ou 2% au maximum. Produit du Canada Ingrédients : Aqua, Glycerin, Sodium stearate, Sorbitol, Sodium laurate, Propylene glycol, Sodium oleate, Sodium myristate, Sodium chloride, Citric acid, Glyceryl Monolaurate, Mango butter (Mangifera indica), Coco-betaine, Sodium thiosulfate, Titanium dioxide, Trisodium Sulfosuccinate, Pentasodium Pentetate, Tetrasodium Etidronate . Si vous prévoyez la vente de produit, il est de votre responsabilité de respecter toutes les réglementations et de remplir le formulaire de déclaration des cosmétiques Santé Canada. Mise en garde: Nos produits sont pour usage externe seulement. ",Base,2026-03-27
